Day;Number of living animals;Number of grasses;Average energy of living animals;Average lifespan of dead animals;Average number of children of living animals
0;30;0;100,0;NaN;0,0
1;31;2;93,87096405029297;NaN;0,06451612710952759
2;32;4;88,03125;NaN;0,125
3;33;6;82,45454406738281;NaN;0,1818181872367859
4;33;8;79,45454406738281;NaN;0,1818181872367859
5;33;10;76,45454406738281;NaN;0,1818181872367859
6;33;12;73,45454406738281;NaN;0,1818181872367859
7;35;14;66,42857360839844;NaN;0,2857142984867096
8;37;14;65,40540313720703;NaN;0,37837839126586914
9;38;14;66,18421173095703;NaN;0,42105263471603394
10;38;16;63,5;NaN;0,42105263471603394
11;38;18;60,81578826904297;NaN;0,42105263471603394
12;38;20;58,1315803527832;NaN;0,42105263471603394
13;39;22;54,02564239501953;NaN;0,4615384638309479
14;39;24;51,38461685180664;12,0;0,4615384638309479
