Day;Number of living animals;Number of grasses;Average energy of living animals;Average lifespan of dead animals;Average number of children of living animals
0;15;0;100,0;0,0;0,0
1;16;2;90,9375;0,0;0,125
2;18;4;78,16666412353516;0,0;0,3333333432674408
3;20;5;72,6500015258789;0,0;0,5
4;24;7;58,04166793823242;0,0;0,75
5;24;6;63,375;0,0;0,75
6;24;6;64,54166412353516;0,0;0,75
7;25;6;63,08000183105469;0,0;0,800000011920929
8;27;8;55,62963104248047;0,0;0,8888888955116272
9;29;9;49,0;0,0;0,9655172228813171
10;30;7;54,46666717529297;0,0;1,0
11;31;7;53,032257080078125;0,0;1,0322580337524414
12;31;8;53,25806427001953;0,0;1,0322580337524414
13;31;8;53,48387145996094;0,0;1,0322580337524414
14;32;9;48,96875;12,0;1,0625
15;33;10;44,60606002807617;11,5;1,0909091234207153
16;33;10;44,66666793823242;12,666666984558105;1,1515151262283325
17;33;11;44,69696807861328;12,666666984558105;1,1515151262283325
18;32;11;46,21875;13,75;1,15625
19;30;10;53,0;14,0;1,1333333253860474
20;30;9;56,70000076293945;14,625;1,2000000476837158
21;27;10;59,814815521240234;15,818181991577148;1,296296238899231
22;25;9;69,4800033569336;16,615385055541992;1,399999976158142
23;24;9;73,5;16,799999237060547;1,5
24;25;7;79,68000030517578;16,799999237060547;1,5199999809265137
25;26;7;77,69230651855469;16,75;1,5384615659713745
26;28;8;69,35713958740234;16,75;1,5714285373687744
27;29;10;64,06896209716797;16,75;1,5862069129943848
28;28;11;63,35714340209961;16,941177368164062;1,6071428060531616
29;27;11;66,33333587646484;17,55555534362793;1,6666666269302368
30;26;11;69,65384674072266;17,473684310913086;1,692307710647583
31;27;12;64,18518829345703;17,473684310913086;1,703703761100769
